19,P,Evan Reifert,R,Durham,Active,No
26,P,Joe Rock,L,Durham,Active,Yes
37,P,John Rooney,L,Durham,Active,No
24,C,Blake Sabol,L,Durham,Active,No
36,P,Jesse Scholtens,R,Durham,Promoted,Yes
12,P,Chase Solesky,R,Durham,Active,Yes
9,P,Santiago Suarez,R,Durham,Demoted,No
65,P,Edwin Uceta,R,Durham,Promoted,Yes
,P,Brian Van Belle,R,Durham,Full-Season IL,No
,P,Austin Vernon,R,Durham,Injured List,No
31,P,Andrew Wantz,R,Durham,Active,No
28,P,Kodi Whitley,R,Durham,Active,No
17,INF,Carson Williams,R,Durham,Active,Yes
29,P,Logan Workman,R,Durham,Active,No
,P,Daison Acosta,R,El Paso,60-day IL,No
40,P,Jason Adam,R,El Paso,Promoted,Yes
,P,Ty Adcock,R,El Paso,Injured List,No
2,OF,Jase Bowen,R,El Paso,Active,No
57,P,Sean Boyle,R,El Paso,Active,No
41,P,Griffin Canning,R,El Paso,Promoted,Yes
5,INF,Marcos Castañon,R,El Paso,Active,No
32,P,Miguel Cienfuegos,L,El Paso,Active,No
17,P,Omar Cruz,L,El Paso,Demoted,No
4,INF,Clay Dungan,L,El Paso,Active,No
26,C,Rodolfo Durán,R,El Paso,Promoted,Yes
39,P,Jeremiah Estrada,R,El Paso,Promoted,Yes
34,P,Evan Fitterer,R,El Paso,Active,No
43,P,Logan Gillaspie,R,El Paso,Active,No
37,P,Marco Gonzales,L,El Paso,Active,No
39,P,Kyle Hart,L,El Paso,Active,Yes
25,P,Garrett Hawkins,R,El Paso,Active,Yes
,C,Blake Hunt,R,El Paso,60-day IL,No
33,P,Alek Jacob,R,El Paso,Promoted,Yes
,P,José Leclerc,R,El Paso,60-day IL,No
29,P,Yuki Matsui,L,El Paso,Promoted,Yes
7,INF,Mason McCoy,R,El Paso,Active,Yes
52,P,Triston McKenzie,R,El Paso,Development List,No
11,INF,Jose Miranda,R,El Paso,Active,No
10,INF,Nate Mondou,L,El Paso,Development List,No
29,P,David Morgan,R,El Paso,Active,Yes
20,OF,Pablo Reyes,R,El Paso,Active,No
27,OF,Carlos Rodríguez,L,El Paso,Active,No
55,P,Ethan Routzahn,R,El Paso,Active,No
30,OF,Nick Schnell,L,El Paso,Active,No
50,P,JP Sears,L,El Paso,Active,Yes
8,INF,Nick Solak,R,El Paso,Active,No
56,INF,Sung-Mun Song,L,El Paso,Promoted,Yes
15,P,Misael Tamarez,R,El Paso,Active,No
24,INF,Samad Taylor,R,El Paso,Active,No
40,P,Andrew Thurman,R,El Paso,Demoted,No
9,C,Anthony Vilar,L,El Paso,Active,No
36,P,Eli Villalobos,R,El Paso,Injured List,No
54,C,Colton Vincent,R,El Paso,Development List,No
17,INF,Will Wagner,L,El Paso,Active,Yes
39,P,Matt Waldron,R,El Paso,Promoted,Yes
49,P,Jackson Wolf,L,El Paso,Active,No
28,P,Justin Yeager,R,El Paso,Active,No
24,INF,Nacho Alvarez Jr.,R,Gwinnett,Active,Yes
37,OF,José Azocar,R,Gwinnett,Promoted,Yes
12,P,Lucas Braun,R,Gwinnett,Active,No
,P,Blake Burkhalter,R,Gwinnett,Injured List,No
13,C,Jair Camargo,R,Gwinnett,Active,No
59,P,Carlos Carrasco,R,Gwinnett,Active,No
64,INF,Cal Conley,S,Gwinnett,Demoted,No
46,P,Dylan Dodd,L,Gwinnett,Rehab Assignment,Yes
11,OF,Tristin English,R,Gwinnett,Active,No
48,P,Blayne Enlow,R,Gwinnett,Demoted,No
36,P,Didier Fuentes,R,Gwinnett,Promoted,Yes
8,OF,Ben Gamel,L,Gwinnett,Active,No
26,P,Javy Guerra,R,Gwinnett,Active,No
63,P,Ian Hamilton,R,Gwinnett,Active,No
99,P,Hayden Harris,L,Gwinnett,Active,Yes
60,P,Daysbel Hernández,R,Gwinnett,Active,Yes
57,P,Elieser Hernández,R,Gwinnett,Active,No
18,OF,Brewer Hicklen,R,Gwinnett,Active,No
1,INF,Jim Jarvis,L,Gwinnett,Not Yet Reported,Yes
22,P,James Karinchak,R,Gwinnett,Active,No
7,OF,DaShawn Keirsey Jr.,L,Gwinnett,Active,No
,P,Ray Kerr,L,Gwinnett,60-day IL,No
14,INF,Ha-Seong Kim,R,Gwinnett,Promoted,Yes
39,C,Sandy León,S,Gwinnett,Free Agent,No
62,P,Victor Mederos,R,Gwinnett,Active,Yes
43,P,Anthony Molina,R,Gwinnett,Active,Yes
45,P,Rolddy Muñoz,R,Gwinnett,Active,Yes
12,C,Sean Murphy,R,Gwinnett,Promoted,Yes
64,INF,Keshawn Ogans,R,Gwinnett,Demoted,No
65,P,Owen Murphy,R,Gwinnett,Active,No
54,P,Joel Payamps,R,Gwinnett,Active,No
54,P,Martín Pérez,L,Gwinnett,Promoted,Yes
34,P,Anderson Pilar,R,Gwinnett,Active,No
40,P,Austin Pope,R,Gwinnett,Free Agent,No
56,P,JR Ritchie,R,Gwinnett,Promoted,Yes
2,INF,Aaron Schunk,R,Gwinnett,Active,No
61,P,Tayler Scott,R,Gwinnett,Active,No
66,P,Brett Sears,R,Gwinnett,Injured List,No
33,P,Hunter Stratton,R,Gwinnett,Active,Yes
66,P,Spencer Strider,R,Gwinnett,Promoted,Yes
52,INF,Rowdy Tellez,L,Gwinnett,Active,No
,P,Connor Thomas,L,Gwinnett,Injured List,No
64,C,Tyler Tolve,L,Gwinnett,Demoted,No
4,C,Chadwick Tromp,R,Gwinnett,Active,No
14,INF,Luke Waddell,L,Gwinnett,Demoted,No
,P,Jacob Wallace,R,Gwinnett,Demoted,No
5,INF,Luke Williams,R,Gwinnett,Active,No
15,INF,Brett Wisely,L,Gwinnett,Active,No
12,P,Hunter Barco,L,Indianapolis,Active,Yes
19,P,Jarod Bayless,R,Indianapolis,Demoted,No
26,P,Brandan Bidois,R,Indianapolis,Promoted,Yes
25,P,Beau Burrows,R,Indianapolis,Active,No
7,OF,Tyler Callihan,L,Indianapolis,Active,Yes
20,C,Nick Cimillo,R,Indianapolis,Active,No
11,P,Mike Clevinger,R,Indianapolis,Injured List,No
12,OF,Billy Cook,R,Indianapolis,Promoted,Yes
6,P,Michael Darrell-Hicks,R,Indianapolis,Active,No
54,P,Noah Davis,R,Indianapolis,Active,No
49,P,Chris Devenski,R,Indianapolis,Promoted,Yes
37,P,Nick Dombkowski,L,Indianapolis,Active,No
33,P,Wilber Dotel,R,Indianapolis,Active,Yes
44,C,Samuel Escudero,R,Indianapolis,Demoted,No
56,OF,Dominic Fletcher,L,Indianapolis,Injured List,No
43,C,Rafael Flores Jr.,R,Indianapolis,Active,Yes
46,P,Carson Fulmer,R,Indianapolis,Active,No
34,OF,Jhostynxon Garcia,R,Indianapolis,Active,No
1,INF,Konnor Griffin,R,Indianapolis,Promoted,Yes
,P,Ryan Harbin,R,Indianapolis,Injured List,No
40,P,Thomas Harrington,R,Indianapolis,Active,Yes
8,C,Wyatt Hendrie,R,Indianapolis,Free Agent,No
19,OF,P.J. Hilson,R,Indianapolis,Demoted,No
16,INF,Mike Jarvis,R,Indianapolis,Active,No
11,INF,Mitch Jebb,L,Indianapolis,60-day IL,No
2,INF,Termarr Johnson,L,Indianapolis,Active,No
11,P,Jared Jones,R,Indianapolis,Promoted,Yes
57,P,Antwone Kelly,R,Indianapolis,Active,Yes
50,P,Joe La Sorsa,L,Indianapolis,Active,No
53,P,Justin Meis,R,Indianapolis,Active,No
,P,Oddanier Mosqueda,L,Indianapolis,60-day IL,No
59,P,Brandon Neeck,L,Indianapolis,Active,No
13,INF,Endy Rodríguez,S,Indianapolis,Promoted,Yes
24,P,Cam Sanders,R,Indianapolis,Not Yet Reported,Yes
10,P,Jake Shirk,R,Indianapolis,Demoted,No
9,INF,Ronny Simon,S,Indianapolis,Active,No
31,P,Evan Sisk,L,Indianapolis,Promoted,Yes
,P,Sean Sullivan,R,Indianapolis,60-day IL,No
39,P,José Urquidy,R,Indianapolis,Active,Yes
47,INF,Enmanuel Valdez,L,Indianapolis,Active,No
5,OF,Esmerlyn Valdez,R,Indianapolis,Active,Yes
27,INF,Davis Wendzel,R,Indianapolis,Active,No
4,INF,Alika Williams,R,Indianapolis,Active,No
14,INF,Nick Yorke,R,Indianapolis,Promoted,Yes
13,OF,Kevin Alcántara,R,Iowa,Active,Yes
46,P,Javier Assad,R,Iowa,Promoted,Yes
48,P,Charlie Barnes (LAD),L,Iowa,Claimed,No
51,OF,Brett Bateman,L,Iowa,Active,No
34,P,Jace Beck,R,Iowa,Demoted,No
39,P,Tyler Beede,R,Iowa,Development List,Yes
1,INF,Christian Bethancourt,R,Iowa,Active,No
,P,Brandon Birdsell,R,Iowa,60-day IL,No
16,P,Ty Blach,L,Iowa,Active,No
41,P,Matthew Boyd,L,Iowa,Promoted,Yes
,P,Jeff Brigham,R,Iowa,60-day IL,No
12,P,Paul Campbell,R,Iowa,Active,No
11,INF,Hayden Cantrelle,S,Iowa,Demoted,No
25,OF,Dylan Carlson,S,Iowa,Free Agent,No
8,INF,Ben Cowles,R,Iowa,Injured List,No
0,OF,Justin Dean,R,Iowa,Active,Yes
37,P,Kenten Egbert,R,Iowa,Demoted,No
46,P,Tyler Ferguson,R,Iowa,Active,Yes
,P,Kohl Franklin,R,Iowa,60-day IL,No
33,P,Gavin Hollowell,R,Iowa,Active,Yes
47,P,Ryan Jensen,R,Iowa,Active,No
15,INF,Scott Kingery,R,Iowa,Active,No
36,P,Gabe Klobosits,R,Iowa,Active,No
19,P,Zac Leigh,R,Iowa,Active,No
35,P,Luke Little,L,Iowa,Active,Yes
24,INF,Jonathon Long,R,Iowa,Active,No
37,P,Corbin Martin,R,Iowa,Active,No
16,P,Riley Martin,L,Iowa,Promoted,Yes
28,P,Phil Maton,R,Iowa,Promoted,Yes
3,OF,Chas McCormick,R,Iowa,Active,No
6,INF,Owen Miller,R,Iowa,Active,No
9,INF,BJ Murray,S,Iowa,Active,No
32,P,Jack Neely,R,Iowa,60-day IL,No
40,P,Doug Nikhazy,L,Iowa,Active,Yes
38,P,Connor Noland,R,Iowa,Active,No
5,C,Casey Opitz,S,Iowa,Active,No
37,P,Daniel Palencia,R,Iowa,Promoted,Yes
49,P,Luis Peralta,L,Iowa,Active,Yes
20,INF,Pedro Ramírez,S,Iowa,Active,No
27,P,Yacksel Ríos,R,Iowa,Active,No
50,P,Ethan Roberts,R,Iowa,Promoted,Yes
15,P,Ryan Rolison,L,Iowa,Promoted,Yes
28,P,Will Sanders,R,Iowa,Injured List,No
2,P,Tyler Santana,R,Iowa,Demoted,No
